timestamp,time_utc_usec,device_id,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,automatic_gain_control,fix_type,jamming_state,vel_ned_valid,satellites_used
65714884,1628792947999536,11010077,-235560458,-467302167,723864,718591,0.15,0.52366894,0.77800006,1.6570001,0.62,1.09,82,43,0.027,0.024,0.013,0.006,2.4871497,0,nan,0.0,3978,3,0,1,16
66512501,1628792948799536,11010077,-235560457,-467302191,724028,718755,0.162,0.42722654,0.75900006,1.6240001,0.63,1.15,82,35,0.31300002,0.042000003,-0.31,-0.086,3.9034102,0,nan,0.0,3900,3,0,1,15
67517828,1628792949799536,11010077,-235560462,-467302189,724027,718754,0.13100001,0.5726818,0.73300004,1.5920001,0.62,1.09,88,37,0.004,-0.001,0.003,-0.003,4.2584095,0,nan,0.0,4056,3,0,1,16
68516746,1628792950799537,11010077,-235560465,-467302179,723861,718588,0.17300001,0.5726863,0.72,1.575,0.62,1.09,94,43,0.054,0.040000003,-0.036000002,0.016,4.2584095,0,nan,0.0,4056,3,0,1,16
69513004,1628792951799538,11010077,-235560470,-467302179,723719,718446,0.257,0.57269156,0.72700006,1.5780001,0.62,1.09,107,18,0.030000001,-0.017,0.025,0.037,4.2584095,0,nan,0.0,4056,3,0,1,16
70514879,1628792952799539,11010077,-235560470,-467302185,723670,718397,0.20300001,0.5726966,0.73700005,1.5890001,0.62,1.09,107,22,0.060000002,0.059000004,-0.010000001,-0.018000001,4.2584095,0,nan,0.0,4056,3,0,1,16
71517039,1628792953799540,11010077,-235560480,-467302187,723508,718235,0.224,0.5727015,0.735,1.5890001,0.62,1.09,106,23,0.009000001,-0.003,-0.008,0.026,4.2584095,0,nan,0.0,4056,3,0,1,16
72516050,1628792954799541,11010077,-235560509,-467302178,722921,717648,0.22600001,0.5727071,0.711,1.562,0.62,1.09,71,42,0.030000001,0.024,-0.019000001,-0.08400001,4.2584095,0,nan,0.0,4056,3,0,1,16
73520875,1628792955799542,11010077,-235560532,-467302173,722274,717001,0.22700001,0.5727123,0.69000006,1.536,0.62,1.09,72,37,0.021000002,0.0,-0.021000002,-0.041,4.2584095,0,nan,0.0,4056,3,0,1,16
74520090,1628792956799542,11010077,-235560540,-467302168,721863,716590,0.23200001,0.57271653,0.674,1.519,0.62,1.09,76,45,0.007,-0.006,0.004,0.033,4.2584095,0,nan,0.0,4056,3,0,1,16
